time,x,y
2017-02-02T17:43:25.877385+00:00,761412,515335
2017-02-02T17:43:25.911105+00:00,756062,517118
2017-02-02T17:43:25.944825+00:00,756062,515335
2017-02-02T17:43:25.978545+00:00,756062,515335
2017-02-02T17:43:26.012264+00:00,754279,513552
2017-02-02T17:43:26.045984+00:00,752496,506419
2017-02-02T17:43:26.079704+00:00,752496,499286
2017-02-02T17:43:26.113424+00:00,747146,490370
2017-02-02T17:43:26.147144+00:00,743580,486804
2017-02-02T17:43:26.180864+00:00,740014,481455
2017-02-02T17:43:26.214584+00:00,736447,474322
2017-02-02T17:43:26.248304+00:00,734664,468972
2017-02-02T17:43:26.282024+00:00,731098,460057
2017-02-02T17:43:26.315744+00:00,729315,454707
2017-02-02T17:43:26.349464+00:00,725748,449358
2017-02-02T17:43:26.383184+00:00,722182,442225
2017-02-02T17:43:26.416904+00:00,715049,436875
2017-02-02T17:43:26.450624+00:00,702567,429743
2017-02-02T17:43:26.484344+00:00,691868,422610
2017-02-02T17:43:26.518064+00:00,681169,417261
2017-02-02T17:43:26.551784+00:00,659771,408345
2017-02-02T17:43:26.585503+00:00,656205,404778
2017-02-02T17:43:26.619223+00:00,641940,401212
2017-02-02T17:43:26.652943+00:00,627674,397646
2017-02-02T17:43:26.686663+00:00,620542,395863
2017-02-02T17:43:26.720383+00:00,609843,394079
2017-02-02T17:43:26.754103+00:00,600927,390513
2017-02-02T17:43:26.787823+00:00,592011,388730
2017-02-02T17:43:26.821543+00:00,581312,386947
2017-02-02T17:43:26.855263+00:00,568830,386947
2017-02-02T17:43:26.888983+00:00,559914,386947
2017-02-02T17:43:26.922703+00:00,550998,386947
2017-02-02T17:43:26.956423+00:00,542082,386947
2017-02-02T17:43:26.990143+00:00,522467,386947
2017-02-02T17:43:27.023863+00:00,518901,385164
2017-02-02T17:43:27.057583+00:00,509985,385164
2017-02-02T17:43:27.091303+00:00,495720,386947
2017-02-02T17:43:27.125022+00:00,483238,390513
2017-02-02T17:43:27.158742+00:00,474322,390513
2017-02-02T17:43:27.192462+00:00,472539,388730
2017-02-02T17:43:27.226182+00:00,468972,388730
2017-02-02T17:43:27.259902+00:00,461840,386947
2017-02-02T17:43:27.293622+00:00,456490,388730
2017-02-02T17:43:27.327342+00:00,445791,392296
2017-02-02T17:43:27.361062+00:00,438659,394079
2017-02-02T17:43:27.394782+00:00,440442,394079
2017-02-02T17:43:27.428502+00:00,438659,394079
2017-02-02T17:43:27.462222+00:00,436875,392296
2017-02-02T17:43:27.495942+00:00,438659,392296
2017-02-02T17:43:27.529662+00:00,438659,390513
2017-02-02T17:43:27.563382+00:00,438659,390513
2017-02-02T17:43:27.597102+00:00,440442,390513
2017-02-02T17:43:27.630822+00:00,442225,388730
2017-02-02T17:43:27.664541+00:00,444008,388730
2017-02-02T17:43:27.698261+00:00,445791,386947
2017-02-02T17:43:27.731981+00:00,447574,386947
2017-02-02T17:43:27.765701+00:00,447574,386947
2017-02-02T17:43:27.799421+00:00,447574,385164
2017-02-02T17:43:27.833141+00:00,447574,385164
2017-02-02T17:43:27.866861+00:00,447574,385164
2017-02-02T17:43:27.900581+00:00,449358,385164
2017-02-02T17:43:27.934301+00:00,449358,385164
2017-02-02T17:43:27.968021+00:00,449358,385164
2017-02-02T17:43:28.001741+00:00,449358,385164
2017-02-02T17:43:28.035461+00:00,449358,385164
2017-02-02T17:43:28.069181+00:00,449358,385164
2017-02-02T17:43:28.102901+00:00,447574,386947
2017-02-02T17:43:28.136621+00:00,449358,386947
2017-02-02T17:43:28.170341+00:00,449358,386947
2017-02-02T17:43:28.204061+00:00,451141,385164
2017-02-02T17:43:28.237780+00:00,451141,385164
2017-02-02T17:43:28.271500+00:00,451141,385164
2017-02-02T17:43:28.305220+00:00,451141,385164
2017-02-02T17:43:28.338940+00:00,451141,385164
2017-02-02T17:43:28.372660+00:00,449358,385164
2017-02-02T17:43:28.406380+00:00,449358,385164
2017-02-02T17:43:28.440100+00:00,449358,386947
2017-02-02T17:43:28.473820+00:00,451141,385164
2017-02-02T17:43:28.507540+00:00,449358,385164
2017-02-02T17:43:28.541260+00:00,449358,385164
2017-02-02T17:43:28.574980+00:00,449358,385164
2017-02-02T17:43:28.608700+00:00,449358,385164
2017-02-02T17:43:28.642420+00:00,451141,385164
2017-02-02T17:43:28.676140+00:00,449358,385164
2017-02-02T17:43:28.709860+00:00,449358,385164
2017-02-02T17:43:28.743580+00:00,449358,385164
2017-02-02T17:43:28.777299+00:00,449358,385164
2017-02-02T17:43:28.811019+00:00,451141,385164
2017-02-02T17:43:28.844739+00:00,451141,385164
2017-02-02T17:43:28.878459+00:00,451141,385164
2017-02-02T17:43:28.912179+00:00,451141,385164
2017-02-02T17:43:28.945899+00:00,451141,385164
2017-02-02T17:43:28.979619+00:00,451141,385164
2017-02-02T17:43:29.013339+00:00,451141,385164
2017-02-02T17:43:29.047059+00:00,451141,385164
2017-02-02T17:43:29.080779+00:00,449358,385164
